	Time [s]	Theta 1 (Bottom Pendulum) (Relative Rotation X) [°]	
1	0.	1.6614e-016	
2	2.1903e-004	7.1933e-008	
3	4.6237e-004	1.4255e-006	
4	7.2444e-004	8.5583e-006	
5	1.0005e-003	3.0961e-005	
6	1.2867e-003	8.4059e-005	
7	1.5801e-003	1.8933e-004	
8	1.8786e-003	3.7379e-004	
9	2.1807e-003	6.6909e-004	
10	2.4854e-003	1.1105e-003	
11	2.7923e-003	1.7363e-003	
12	3.103e-003	2.5925e-003	
13	3.4196e-003	3.7335e-003	
14	3.7436e-003	5.2209e-003	
15	4.0765e-003	7.1233e-003	
16	4.4196e-003	9.517e-003	
17	4.7746e-003	1.2486e-002	
18	5.1434e-003	1.6126e-002	
19	5.5287e-003	2.0545e-002	
20	5.9348e-003	2.5879e-002	
21	6.3682e-003	3.2311e-002	
22	6.8425e-003	4.0158e-002	
23	7.4002e-003	5.0321e-002	
24	8.0225e-003	6.259e-002	
25	8.3337e-003	6.8978e-002	
26	8.6813e-003	7.6231e-002	
27	9.0525e-003	8.4029e-002	
28	9.4371e-003	9.2069e-002	
29	9.8277e-003	0.10008	
30	1.0219e-002	0.10786	
31	1.0415e-002	0.11162	
32	1.0649e-002	0.11596	
33	1.0913e-002	0.12067	
34	1.1201e-002	0.12553	
35	1.1507e-002	0.13032	
36	1.1826e-002	0.13488	
37	1.2155e-002	0.13907	
38	1.249e-002	0.14277	
39	1.283e-002	0.14588	
40	1.3174e-002	0.14834	
41	1.3519e-002	0.15009	
42	1.3866e-002	0.1511	
43	1.4214e-002	0.15133	
44	1.4564e-002	0.15077	
45	1.4915e-002	0.14941	
46	1.5267e-002	0.14724	
47	1.562e-002	0.14426	
48	1.5975e-002	0.14049	
49	1.6333e-002	0.13594	
50	1.6693e-002	0.13063	
51	1.7056e-002	0.12458	
52	1.7423e-002	0.11783	
53	1.7793e-002	0.11041	
54	1.8169e-002	0.10238	
55	1.855e-002	9.3794e-002	
56	1.8938e-002	8.4712e-002	
57	1.9334e-002	7.5209e-002	
58	1.9739e-002	6.5368e-002	
