	Time [s]	Theta 2 (Top Pendulum) (Relative Rotation X) [°]	
1	0.	3.0774e-015	
2	2.1903e-004	3.4055e-009	
3	4.6237e-004	6.3491e-008	
4	7.2444e-004	3.7738e-007	
5	1.0005e-003	1.3599e-006	
6	1.2867e-003	3.6821e-006	
7	1.5801e-003	8.2729e-006	
8	1.8786e-003	1.629e-005	
9	2.1807e-003	2.9078e-005	
10	2.4854e-003	4.8114e-005	
11	2.7923e-003	7.4975e-005	
12	3.103e-003	1.1155e-004	
13	3.4196e-003	1.6005e-004	
14	3.7436e-003	2.2295e-004	
15	4.0765e-003	3.0299e-004	
16	4.4196e-003	4.032e-004	
17	4.7746e-003	5.2695e-004	
18	5.1434e-003	6.7809e-004	
19	5.5287e-003	8.6115e-004	
20	5.9348e-003	1.0819e-003	
21	6.3682e-003	1.3488e-003	
22	6.8425e-003	1.6765e-003	
23	7.4002e-003	2.1066e-003	
24	8.0225e-003	2.6392e-003	
25	8.3337e-003	2.9243e-003	
26	8.6813e-003	3.2565e-003	
27	9.0525e-003	3.626e-003	
28	9.4371e-003	4.0236e-003	
29	9.8277e-003	4.4414e-003	
30	1.0219e-002	4.8735e-003	
31	1.0415e-002	5.0941e-003	
32	1.0649e-002	5.3609e-003	
33	1.0913e-002	5.6674e-003	
34	1.1201e-002	6.007e-003	
35	1.1507e-002	6.3735e-003	
36	1.1826e-002	6.7619e-003	
37	1.2155e-002	7.1678e-003	
38	1.249e-002	7.5878e-003	
39	1.283e-002	8.0195e-003	
40	1.3174e-002	8.4608e-003	
41	1.3519e-002	8.9104e-003	
42	1.3866e-002	9.3672e-003	
43	1.4214e-002	9.8307e-003	
44	1.4564e-002	1.03e-002	
45	1.4915e-002	1.0776e-002	
46	1.5267e-002	1.1258e-002	
47	1.562e-002	1.1746e-002	
48	1.5975e-002	1.224e-002	
49	1.6333e-002	1.2742e-002	
50	1.6693e-002	1.325e-002	
51	1.7056e-002	1.3767e-002	
52	1.7423e-002	1.4293e-002	
53	1.7793e-002	1.4829e-002	
54	1.8169e-002	1.5377e-002	
55	1.855e-002	1.5939e-002	
56	1.8938e-002	1.6516e-002	
57	1.9334e-002	1.7113e-002	
58	1.9739e-002	1.7733e-002	
59	2.0154e-002	1.8381e-002	
60	2.0582e-002	1.9064e-002	
61	2.1026e-002	1.9792e-002	
62	2.1488e-002	2.0575e-002	
63	2.1974e-002	2.1432e-002	
64	2.2491e-002	2.2386e-002	
65	2.3052e-002	2.3477e-002	
66	2.3681e-002	2.478e-002	
67	2.4443e-002	2.6479e-002	
68	2.5256e-002	2.8451e-002	
69	2.5663e-002	2.9498e-002	
70	2.6097e-002	3.0659e-002	
71	2.6545e-002	3.1909e-002	
72	2.6999e-002	3.3225e-002	
73	2.7226e-002	3.3902e-002	
74	2.7495e-002	3.472e-002	
75	2.7798e-002	3.5661e-002	
76	2.8126e-002	3.6706e-002	
77	2.8472e-002	3.7837e-002	
78	2.883e-002	3.9041e-002	
79	2.9196e-002	4.0306e-002	
80	2.9566e-002	4.1621e-002	
81	2.9939e-002	4.2983e-002	
82	3.0311e-002	4.4387e-002	
83	3.0497e-002	4.5105e-002	
84	3.0722e-002	4.5987e-002	
85	3.0979e-002	4.7016e-002	
86	3.1263e-002	4.8174e-002	
87	3.1567e-002	4.9449e-002	
88	3.1889e-002	5.0828e-002	
89	3.2224e-002	5.2305e-002	
90	3.2571e-002	5.3875e-002	
91	3.293e-002	5.5538e-002	
92	3.33e-002	5.7295e-002	
93	3.3682e-002	5.9153e-002	
94	3.4079e-002	6.1126e-002	
95	3.4494e-002	6.3231e-002	
96	3.4935e-002	6.5506e-002	
97	3.5416e-002	6.8021e-002	
98	3.598e-002	7.1009e-002	
99	3.6607e-002	7.4344e-002	
100	3.692e-002	7.6011e-002	
101	3.7269e-002	7.7865e-002	
102	3.7642e-002	7.9834e-002	
103	3.8028e-002	8.1855e-002	
104	3.842e-002	8.3885e-002	
105	3.8812e-002	8.5894e-002	
106	3.9009e-002	8.6886e-002	
107	3.9243e-002	8.806e-002	
108	3.9508e-002	8.9371e-002	
109	3.9797e-002	9.0781e-002	
110	4.0104e-002	9.2255e-002	
111	4.0425e-002	9.3764e-002	
112	4.0755e-002	9.5286e-002	
113	4.1092e-002	9.6803e-002	
114	4.1433e-002	9.8304e-002	
115	4.1778e-002	9.9779e-002	
116	4.2125e-002	0.10122	
117	4.2474e-002	0.10262	
118	4.2824e-002	0.10399	
119	4.3175e-002	0.10531	
120	4.3528e-002	0.10659	
121	4.3882e-002	0.10782	
122	4.4237e-002	0.10901	
123	4.4595e-002	0.11015	
124	4.4954e-002	0.11125	
125	4.5317e-002	0.1123	
126	4.5682e-002	0.11331	
127	4.6052e-002	0.11427	
128	4.6425e-002	0.11519	
129	4.6804e-002	0.11607	
130	4.7188e-002	0.11692	
131	4.758e-002	0.11773	
132	4.7979e-002	0.11851	
133	4.8388e-002	0.11927	
134	4.8808e-002	0.12002	
135	4.9241e-002	0.12076	
136	4.9691e-002	0.12152	
137	5.016e-002	0.1223	
138	5.0655e-002	0.12315	
139	5.1183e-002	0.1241	
140	5.1758e-002	0.12522	
141	5.2412e-002	0.12664	
142	5.3198e-002	0.12863	
143	5.4011e-002	0.13109	
144	5.4418e-002	0.1325	
145	5.4848e-002	0.13412	
146	5.5292e-002	0.13596	
147	5.574e-002	0.13799	
148	5.5964e-002	0.13907	
149	5.6229e-002	0.14041	
150	5.6528e-002	0.142	
151	5.6852e-002	0.14382	
152	5.7194e-002	0.14585	
153	5.7549e-002	0.14808	
154	5.7911e-002	0.15049	
155	5.8278e-002	0.15306	
156	5.8647e-002	0.15578	
157	5.9018e-002	0.15864	
158	5.9388e-002	0.16165	
159	5.9573e-002	0.1632	
160	5.9797e-002	0.16512	
161	6.0055e-002	0.16738	
162	6.0339e-002	0.16996	
163	6.0646e-002	0.17281	
164	6.097e-002	0.17592	
165	6.1311e-002	0.17927	
166	6.1666e-002	0.18284	
167	6.2035e-002	0.18665	
168	6.2419e-002	0.19068	
169	6.282e-002	0.19498	
170	6.3244e-002	0.19957	
171	6.3698e-002	0.20454	
172	6.4204e-002	0.21011	
173	6.4868e-002	0.21738	
174	6.5203e-002	0.22102	
175	6.5577e-002	0.22504	
176	6.5974e-002	0.22925	
177	6.6382e-002	0.2335	
178	6.6793e-002	0.23768	
179	6.6999e-002	0.23973	
180	6.7244e-002	0.24213	
181	6.7519e-002	0.24478	
182	6.7819e-002	0.24759	
183	6.8137e-002	0.25049	
184	6.8467e-002	0.25341	
185	6.8805e-002	0.2563	
186	6.915e-002	0.25913	
187	6.9498e-002	0.26186	
188	6.9848e-002	0.26449	
189	7.0199e-002	0.26699	
190	7.0552e-002	0.26937	
191	7.0905e-002	0.27161	
192	7.1258e-002	0.27371	
193	7.1611e-002	0.27567	
194	7.1966e-002	0.27748	
195	7.2321e-002	0.27915	
196	7.2677e-002	0.28068	
197	7.3035e-002	0.28206	
198	7.3395e-002	0.28329	
199	7.3758e-002	0.28437	
200	7.4123e-002	0.28531	
201	7.4491e-002	0.28611	
202	7.4864e-002	0.28675	
203	7.5242e-002	0.28725	
204	7.5625e-002	0.28761	
205	7.6014e-002	0.28783	
206	7.6412e-002	0.28791	
207	7.6818e-002	0.28787	
208	7.7235e-002	0.2877	
209	7.7664e-002	0.28742	
210	7.8109e-002	0.28704	
211	7.8572e-002	0.2866	
212	7.9058e-002	0.2861	
213	7.9575e-002	0.2856	
214	8.0134e-002	0.28515	
215	8.0759e-002	0.28486	
216	8.1511e-002	0.28493	
217	8.2322e-002	0.28571	
218	8.2728e-002	0.28644	
219	8.3161e-002	0.28749	
220	8.3611e-002	0.2889	
221	8.4066e-002	0.2907	
222	8.4294e-002	0.29174	
223	8.4565e-002	0.29311	
224	8.4868e-002	0.29481	
225	8.5198e-002	0.29687	
226	8.5546e-002	0.29928	
227	8.5906e-002	0.30203	
228	8.6274e-002	0.30512	
229	8.6645e-002	0.30853	
230	8.7019e-002	0.31224	
231	8.7393e-002	0.31623	
232	8.758e-002	0.31834	
233	8.7805e-002	0.32097	
234	8.8063e-002	0.3241	
235	8.8347e-002	0.32768	
236	8.8652e-002	0.3317	
237	8.8974e-002	0.3361	
238	8.931e-002	0.34088	
239	8.9657e-002	0.34601	
240	9.0016e-002	0.35146	
241	9.0386e-002	0.35725	
242	9.0768e-002	0.36338	
243	9.1164e-002	0.36986	
244	9.1578e-002	0.37675	
245	9.2017e-002	0.38413	
246	9.2494e-002	0.39218	
247	9.3048e-002	0.4015	
248	9.3675e-002	0.41193	
249	9.3988e-002	0.41706	
250	9.4339e-002	0.4227	
251	9.4714e-002	0.42859	
252	9.5103e-002	0.43454	
253	9.5497e-002	0.44039	
254	9.5893e-002	0.44603	
255	9.6091e-002	0.44876	
256	9.6326e-002	0.45195	
257	9.6593e-002	0.45543	
258	9.6883e-002	0.4591	
259	9.7192e-002	0.46283	
260	9.7514e-002	0.46654	
261	9.7845e-002	0.47015	
262	9.8183e-002	0.47362	
263	9.8526e-002	0.47691	
264	9.8872e-002	0.47998	
265	9.922e-002	0.48283	
266	9.957e-002	0.48543	
267	9.9921e-002	0.48777	
268	0.10027	0.48986	
269	0.10063	0.49168	
270	0.10098	0.49323	
271	0.10134	0.4945	
272	0.1017	0.49551	
273	0.10206	0.49623	
274	0.10242	0.49668	
275	0.10279	0.49684	
276	0.10316	0.49672	
277	0.10353	0.49631	
278	0.10391	0.49563	
279	0.10429	0.49465	
280	0.10469	0.4934	
281	0.10509	0.49186	
282	0.1055	0.49006	
283	0.10592	0.48798	
284	0.10635	0.48565	
285	0.1068	0.48307	
286	0.10727	0.48028	
287	0.10777	0.47729	
288	0.10829	0.47413	
289	0.10887	0.47086	
290	0.10952	0.46753	
291	0.11031	0.46432	
292	0.11112	0.46223	
293	0.11153	0.46174	
294	0.11196	0.4617	
295	0.1124	0.46218	
296	0.11285	0.46326	
297	0.11308	0.46403	
298	0.11334	0.46514	
299	0.11364	0.46667	
300	0.11397	0.46865	
301	0.11431	0.47112	
302	0.11466	0.47409	
303	0.11503	0.47756	
304	0.11539	0.48152	
305	0.11576	0.48594	
306	0.11614	0.49081	
307	0.11651	0.4961	
308	0.11669	0.49891	
309	0.11692	0.50243	
310	0.11717	0.50665	
311	0.11746	0.51152	
312	0.11777	0.51699	
313	0.11809	0.52303	
314	0.11843	0.5296	
315	0.11879	0.53669	
316	0.11916	0.54427	
317	0.11954	0.55235	
318	0.11995	0.56096	
319	0.12037	0.57017	
320	0.12083	0.58013	
321	0.12133	0.59123	
322	0.122	0.60557	
323	0.12233	0.61267	
324	0.12271	0.62043	
325	0.1231	0.62847	
326	0.12351	0.63646	
327	0.12392	0.64421	
328	0.12413	0.64795	
329	0.12437	0.65229	
330	0.12465	0.65702	
331	0.12495	0.66195	
332	0.12527	0.66693	
333	0.1256	0.67183	
334	0.12594	0.67654	
335	0.12628	0.68101	
336	0.12663	0.68518	
337	0.12698	0.68901	
338	0.12734	0.69247	
339	0.12769	0.69556	
340	0.12804	0.69826	
341	0.1284	0.70057	
342	0.12875	0.70247	
343	0.12911	0.70396	
344	0.12946	0.70504	
345	0.12982	0.70571	
346	0.13018	0.70597	
347	0.13054	0.7058	
348	0.1309	0.70521	
349	0.13127	0.70418	
350	0.13164	0.70273	
351	0.13201	0.70084	
352	0.13239	0.69852	
353	0.13278	0.69575	
354	0.13317	0.69254	
355	0.13357	0.68889	
356	0.13397	0.6848	
357	0.13439	0.68028	
358	0.13482	0.67532	
359	0.13527	0.66993	
360	0.13574	0.66414	
361	0.13623	0.65794	
362	0.13675	0.65136	
363	0.13732	0.6444	
364	0.13795	0.63701	
365	0.13872	0.62905	
366	0.13953	0.62219	
367	0.13994	0.61951	
368	0.14037	0.61729	
369	0.14082	0.61571	
370	0.14128	0.61493	
371	0.1415	0.61486	
372	0.14177	0.61506	
373	0.14207	0.61566	
374	0.1424	0.61677	
375	0.14275	0.61846	
376	0.14311	0.62079	
377	0.14347	0.62376	
378	0.14384	0.62739	
379	0.14422	0.63165	
380	0.14459	0.63652	
381	0.14478	0.63917	
382	0.145	0.64257	
383	0.14526	0.6467	
384	0.14555	0.65156	
385	0.14585	0.65711	
386	0.14617	0.66331	
387	0.14651	0.67015	
388	0.14686	0.67758	
389	0.14722	0.68559	
390	0.14759	0.69416	
391	0.14798	0.7033	
392	0.14838	0.71303	
393	0.1488	0.7234	
394	0.14924	0.73456	
395	0.14973	0.7468	
396	0.15032	0.7614	
397	0.15096	0.77669	
398	0.15127	0.78411	
399	0.15162	0.79211	
400	0.152	0.80031	
401	0.15238	0.80844	
402	0.15277	0.81628	
403	0.15316	0.8237	
404	0.15336	0.82723	
405	0.15359	0.83129	
406	0.15386	0.83567	
407	0.15414	0.84017	
408	0.15445	0.84463	
409	0.15477	0.84892	
410	0.1551	0.85293	
411	0.15544	0.8566	
412	0.15578	0.85987	
413	0.15613	0.86269	
414	0.15648	0.86505	
415	0.15683	0.86691	
416	0.15718	0.86826	
417	0.15753	0.8691	
418	0.15788	0.86942	
419	0.15824	0.8692	
420	0.1586	0.86844	
421	0.15896	0.86714	
422	0.15932	0.86528	
423	0.15969	0.86286	
424	0.16005	0.85988	
425	0.16043	0.85633	
426	0.1608	0.8522	
427	0.16119	0.84749	
428	0.16158	0.84219	
429	0.16197	0.83629	
430	0.16238	0.8298	
431	0.16279	0.82271	
432	0.16322	0.81502	
433	0.16366	0.80673	
434	0.16412	0.79783	
435	0.1646	0.78833	
436	0.16511	0.77822	
437	0.16566	0.76746	
438	0.16626	0.75596	
439	0.16697	0.74334	
440	0.16777	0.7308	
441	0.16817	0.72533	
442	0.1686	0.7201	
443	0.16905	0.71548	
444	0.16951	0.71173	
445	0.16997	0.70902	
446	0.1702	0.70808	
447	0.17048	0.70733	
448	0.17078	0.70695	
449	0.17111	0.70712	
450	0.17145	0.70793	
451	0.17181	0.70946	
452	0.17218	0.71175	
453	0.17255	0.71479	
454	0.17292	0.71859	
455	0.17329	0.7231	
456	0.17348	0.72561	
457	0.1737	0.72888	
458	0.17396	0.73292	
459	0.17424	0.73772	
460	0.17455	0.74327	
461	0.17487	0.74954	
462	0.17521	0.7565	
463	0.17556	0.76413	
464	0.17592	0.7724	
465	0.1763	0.7813	
466	0.17669	0.79083	
467	0.1771	0.80101	
468	0.17752	0.81192	
469	0.17799	0.82373	
470	0.1785	0.83691	
471	0.17917	0.85364	
472	0.1795	0.86177	
473	0.17987	0.87058	
474	0.18027	0.87959	
475	0.18067	0.88843	
476	0.18108	0.89686	
477	0.18129	0.90087	
478	0.18153	0.90547	
479	0.18181	0.9104	
480	0.18211	0.91545	
481	0.18243	0.92042	
482	0.18276	0.92517	
483	0.18309	0.92956	
484	0.18344	0.93352	
485	0.18379	0.937	
486	0.18414	0.93994	
487	0.18449	0.94231	
488	0.18485	0.94411	
489	0.1852	0.94532	
490	0.18556	0.94592	
491	0.18591	0.9459	
492	0.18627	0.94527	
