	Time [s]	Z Axis - Relative Rotation - Joint Probe - General - Ground To PENDULUM - 4.9966e-003 s (Relative Rotation Z) [°]	
1	0.	0.	
2	2.5032e-004	-3.5934e-007	
3	5.2106e-004	-6.7328e-006	
4	8.0479e-004	-3.8155e-005	
5	1.0956e-003	-1.3027e-004	
6	1.3893e-003	-3.3409e-004	
7	1.5361e-003	-4.9698e-004	
8	1.7123e-003	-7.6253e-004	
9	1.9124e-003	-1.1769e-003	
10	2.131e-003	-1.797e-003	
11	2.3636e-003	-2.6881e-003	
12	2.6064e-003	-3.9216e-003	
13	2.8565e-003	-5.5725e-003	
14	3.112e-003	-7.7171e-003	
15	3.3715e-003	-1.0432e-002	
16	3.6342e-003	-1.3795e-002	
17	3.8997e-003	-1.7883e-002	
18	4.168e-003	-2.2777e-002	
19	4.4396e-003	-2.856e-002	
20	4.7152e-003	-3.5328e-002	
21	4.9966e-003	-4.3203e-002	
22	5.2853e-003	-5.2328e-002	
23	5.5835e-003	-6.2873e-002	
24	5.8938e-003	-7.5049e-002	
25	6.2198e-003	-8.9141e-002	
26	6.5675e-003	-0.10558	
27	6.9483e-003	-0.12516	
28	7.3969e-003	-0.15013	
29	7.8903e-003	-0.17966	
30	8.137e-003	-0.1951	
31	8.4148e-003	-0.21293	
32	8.7131e-003	-0.23251	
33	9.0236e-003	-0.25324	
34	9.3399e-003	-0.2746	
35	9.658e-003	-0.29619	
36	9.817e-003	-0.30699	
37	1.0007e-002	-0.31988	
38	1.0223e-002	-0.33441	
39	1.0458e-002	-0.35015	
40	1.0709e-002	-0.36666	
41	1.097e-002	-0.3836	
42	1.1239e-002	-0.40067	
43	1.1513e-002	-0.4176	
44	1.1791e-002	-0.4342	
45	1.2071e-002	-0.4503	
46	1.2353e-002	-0.46576	
47	1.2635e-002	-0.48049	
48	1.2918e-002	-0.49438	
49	1.3202e-002	-0.50736	
50	1.3485e-002	-0.51936	
51	1.3769e-002	-0.53032	
52	1.4052e-002	-0.54018	
53	1.4336e-002	-0.54887	
54	1.4621e-002	-0.55636	
55	1.4905e-002	-0.56259	
56	1.519e-002	-0.56751	
57	1.5476e-002	-0.57107	
58	1.5763e-002	-0.57322	
59	1.605e-002	-0.5739	
60	1.6339e-002	-0.57308	
61	1.6629e-002	-0.5707	
62	1.6921e-002	-0.56671	
63	1.7214e-002	-0.56108	
64	1.7509e-002	-0.55376	
65	1.7806e-002	-0.54472	
66	1.8106e-002	-0.53391	
67	1.8408e-002	-0.52133	
68	1.8713e-002	-0.50694	
69	1.9022e-002	-0.49073	
70	1.9334e-002	-0.47271	
71	1.9651e-002	-0.45288	
72	1.9973e-002	-0.43127	
73	2.03e-002	-0.4079	
74	2.0634e-002	-0.38283	
75	2.0974e-002	-0.35613	
76	2.1324e-002	-0.32788	
77	2.1683e-002	-0.29819	
78	2.2053e-002	-0.26723	
79	2.2436e-002	-0.23519	
80	2.2833e-002	-0.20234	
81	2.3246e-002	-0.16904	
82	2.3676e-002	-0.13571	
83	2.4124e-002	-0.10295	
84	2.4588e-002	-7.1526e-002	
85	2.5064e-002	-4.2266e-002	
86	2.5547e-002	-1.5891e-002	
87	2.6033e-002	7.1324e-003	
88	2.6276e-002	1.7332e-002	
89	2.6575e-002	2.8702e-002	
90	2.6918e-002	4.0217e-002	
91	2.7294e-002	5.1085e-002	
92	2.7695e-002	6.0814e-002	
93	2.8117e-002	6.9196e-002	
94	2.8556e-002	7.6243e-002	
95	2.9014e-002	8.2127e-002	
96	2.9499e-002	8.7137e-002	
97	3.0033e-002	9.1702e-002	
98	3.0663e-002	9.6432e-002	
99	3.0977e-002	9.87e-002	
100	3.1318e-002	0.10115	
101	3.1672e-002	0.10371	
102	3.2029e-002	0.10632	
103	3.2208e-002	0.10761	
104	3.2418e-002	0.10912	
105	3.2654e-002	0.11076	
106	3.2909e-002	0.11244	
107	3.3176e-002	0.11405	
108	3.3452e-002	0.1155	
109	3.3733e-002	0.11667	
110	3.4018e-002	0.11746	
111	3.4304e-002	0.11778	
112	3.459e-002	0.11751	
113	3.4878e-002	0.11658	
114	3.5166e-002	0.11489	
115	3.5455e-002	0.11235	
116	3.5746e-002	0.10889	
117	3.6039e-002	0.10439	
118	3.6337e-002	9.8765e-002	
119	3.6641e-002	9.1889e-002	
120	3.6952e-002	8.3623e-002	
121	3.7274e-002	7.3786e-002	
122	3.761e-002	6.2131e-002	
123	3.7966e-002	4.8281e-002	
124	3.8354e-002	3.1545e-002	
125	3.8808e-002	1.0005e-002	
126	3.9311e-002	-1.6015e-002	
127	3.9562e-002	-2.9734e-002	
128	3.9846e-002	-4.5663e-002	
129	4.0151e-002	-6.323e-002	
130	4.0468e-002	-8.1885e-002	
131	4.0791e-002	-0.10115	
132	4.1116e-002	-0.12063	
133	4.1278e-002	-0.13037	
134	4.1473e-002	-0.14199	
135	4.1693e-002	-0.15509	
136	4.1934e-002	-0.16924	
137	4.2189e-002	-0.18406	
138	4.2456e-002	-0.19922	
139	4.2731e-002	-0.21442	
140	4.3011e-002	-0.22943	
141	4.3295e-002	-0.24405	
142	4.3582e-002	-0.25812	
143	4.387e-002	-0.27151	
144	4.4159e-002	-0.2841	
145	4.4449e-002	-0.29581	
146	4.4739e-002	-0.30655	
147	4.5029e-002	-0.31626	
148	4.5319e-002	-0.32486	
149	4.561e-002	-0.3323	
150	4.5901e-002	-0.33852	
151	4.6192e-002	-0.34345	
152	4.6484e-002	-0.34705	
153	4.6777e-002	-0.34926	
154	4.707e-002	-0.35003	
155	4.7364e-002	-0.34929	
156	4.766e-002	-0.347	
157	4.7956e-002	-0.34311	
158	4.8254e-002	-0.33757	
159	4.8554e-002	-0.33032	
160	4.8856e-002	-0.32132	
161	4.916e-002	-0.31054	
162	4.9466e-002	-0.29793	
163	4.9775e-002	-0.28346	
164	5.0087e-002	-0.26712	
165	5.0403e-002	-0.24888	
166	5.0722e-002	-0.22875	
167	5.1046e-002	-0.20673	
168	5.1375e-002	-0.18285	
169	5.171e-002	-0.15713	
170	5.2052e-002	-0.12964	
171	5.2401e-002	-0.10043	
172	5.2758e-002	-6.9605e-002	
173	5.3126e-002	-3.7284e-002	
174	5.3506e-002	-3.6277e-003	
175	5.3898e-002	3.115e-002	
176	5.4306e-002	6.6759e-002	
177	5.473e-002	0.1028	
178	5.517e-002	0.13874	
179	5.5627e-002	0.17389	
180	5.6098e-002	0.20744	
181	5.6578e-002	0.23861	
182	5.7065e-002	0.26673	
183	5.7552e-002	0.29142	
184	5.7796e-002	0.30247	
185	5.8095e-002	0.31487	
186	5.8438e-002	0.32761	
187	5.8814e-002	0.3399	
188	5.9216e-002	0.35126	
189	5.9638e-002	0.36149	
190	6.0079e-002	0.37064	
191	6.0541e-002	0.37892	
192	6.1034e-002	0.38671	
193	6.1587e-002	0.39471	
194	6.2203e-002	0.40331	
195	6.2511e-002	0.40763	
196	6.2843e-002	0.41236	
197	6.3188e-002	0.41736	
198	6.3537e-002	0.42249	
199	6.3711e-002	0.42507	
200	6.3918e-002	0.42813	
201	6.415e-002	0.43154	
202	6.4401e-002	0.43516	
203	6.4665e-002	0.43885	
204	6.4938e-002	0.44248	
205	6.5217e-002	0.44591	
206	6.55e-002	0.44901	
207	6.5784e-002	0.45167	
208	6.607e-002	0.4538	
209	6.6356e-002	0.45528	
210	6.6644e-002	0.45603	
211	6.6933e-002	0.45597	
212	6.7224e-002	0.455	
213	6.7518e-002	0.45303	
214	6.7817e-002	0.44998	
215	6.8122e-002	0.44572	
216	6.8435e-002	0.44013	
217	6.876e-002	0.43305	
218	6.91e-002	0.42423	
219	6.9461e-002	0.41332	
220	6.9859e-002	0.39964	
221	7.034e-002	0.38097	
222	7.085e-002	0.35896	
223	7.1105e-002	0.34726	
224	7.139e-002	0.33377	
225	7.1693e-002	0.31896	
226	7.2008e-002	0.30326	
227	7.2328e-002	0.28707	
228	7.265e-002	0.2707	
229	7.2811e-002	0.26253	
230	7.3003e-002	0.25277	
231	7.3222e-002	0.24179	
232	7.3461e-002	0.22994	
233	7.3715e-002	0.21756	
234	7.3981e-002	0.20494	
235	7.4254e-002	0.19234	
236	7.4533e-002	0.17998	
237	7.4816e-002	0.16802	
238	7.5102e-002	0.15663	
239	7.539e-002	0.14591	
240	7.5678e-002	0.13598	
241	7.5968e-002	0.12693	
242	7.6257e-002	0.11883	
243	7.6547e-002	0.11175	
244	7.6838e-002	0.10576	
245	7.7129e-002	0.10092	
246	7.742e-002	9.7285e-002	
247	7.7711e-002	9.4918e-002	
248	7.8003e-002	9.3873e-002	
249	7.8296e-002	9.4204e-002	
250	7.859e-002	9.5966e-002	
251	7.8885e-002	9.9211e-002	
252	7.9181e-002	0.10399	
253	7.9478e-002	0.11036	
254	7.9777e-002	0.11837	
255	8.0078e-002	0.12807	
256	8.0381e-002	0.13949	
257	8.0685e-002	0.15268	
258	8.0993e-002	0.16766	
259	8.1303e-002	0.18448	
260	8.1617e-002	0.20314	
261	8.1934e-002	0.22366	
262	8.2255e-002	0.24604	
263	8.2581e-002	0.27026	
264	8.2913e-002	0.2963	
265	8.325e-002	0.32412	
266	8.3594e-002	0.35367	
267	8.3946e-002	0.38486	
268	8.4308e-002	0.4176	
269	8.468e-002	0.45175	
270	8.5065e-002	0.48715	
271	8.5463e-002	0.52356	
272	8.5876e-002	0.56067	
273	8.6307e-002	0.59802	
274	8.6754e-002	0.63504	
275	8.7216e-002	0.67099	
276	8.7692e-002	0.70508	
277	8.8175e-002	0.73654	
278	8.8663e-002	0.76482	
279	8.8907e-002	0.77767	
280	8.9207e-002	0.79233	
281	8.9552e-002	0.80764	
282	8.9931e-002	0.82266	
283	9.0334e-002	0.83681	
284	9.0756e-002	0.84982	
285	9.1193e-002	0.86169	
286	9.1648e-002	0.87263	
287	9.2123e-002	0.883	
288	9.2634e-002	0.8934	
289	9.3232e-002	0.90524	
290	9.3542e-002	0.91143	
291	9.3886e-002	0.91843	
292	9.4249e-002	0.92602	
293	9.4618e-002	0.93398	
294	9.4802e-002	0.93805	
295	9.502e-002	0.94291	
296	9.5264e-002	0.94841	
297	9.5526e-002	0.95437	
298	9.5801e-002	0.96063	
299	9.6084e-002	0.96701	
300	9.6372e-002	0.97335	
301	9.6662e-002	0.97951	
302	9.6952e-002	0.98535	
303	9.7098e-002	0.98812	
304	9.7273e-002	0.99131	
305	9.7474e-002	0.99472	
306	9.7696e-002	0.99814	
307	9.7934e-002	1.0014	
308	9.8186e-002	1.0042	
309	9.8448e-002	1.0066	
310	9.872e-002	1.0083	
311	9.9e-002	1.0091	
312	9.9289e-002	1.009	
313	9.9587e-002	1.0079	
314	9.9897e-002	1.0056	
315	0.10022	1.0019	
316	0.10056	0.9966	
317	0.10092	0.98946	
318	0.10132	0.97982	
319	0.10182	0.96567	
320	0.10234	0.9487	
321	0.1026	0.93949	
322	0.10288	0.92886	
323	0.10319	0.91714	
324	0.1035	0.90467	
325	0.10382	0.89178	
326	0.10414	0.87873	
327	0.1043	0.8722	
328	0.10449	0.86442	
329	0.10471	0.85566	
330	0.10495	0.84623	
331	0.1052	0.8364	
332	0.10547	0.82641	
